id,model_name,region,channel,layer,threshold,img_path,size
334,ffhq,face,511,9,0.69,imgs/small_id_334_region_face_t_0.69_layer_9_ch_511_0_seed_1.jpeg,100
336,ffhq,face,470,9,0.69,imgs/small_id_336_region_face_t_0.69_layer_9_ch_470_0_seed_1.jpeg,100
338,ffhq,face,2,9,0.69,imgs/small_id_338_region_face_t_0.69_layer_9_ch_2_0_seed_1.jpeg,100
340,ffhq,face,301,9,0.69,imgs/small_id_340_region_face_t_0.69_layer_9_ch_301_0_seed_1.jpeg,100
342,ffhq,face,365,9,0.69,imgs/small_id_342_region_face_t_0.69_layer_9_ch_365_0_seed_1.jpeg,100
344,ffhq,face,401,9,0.69,imgs/small_id_344_region_face_t_0.69_layer_9_ch_401_0_seed_1.jpeg,100
346,ffhq,face,296,12,0.7,imgs/small_id_346_region_face_t_0.7_layer_12_ch_296_0_seed_1.jpeg,100
348,ffhq,face,381,12,0.7,imgs/small_id_348_region_face_t_0.7_layer_12_ch_381_0_seed_1.jpeg,100
350,ffhq,face,225,12,0.7,imgs/small_id_350_region_face_t_0.7_layer_12_ch_225_0_seed_1.jpeg,100
352,ffhq,face,214,12,0.7,imgs/small_id_352_region_face_t_0.7_layer_12_ch_214_0_seed_1.jpeg,100
354,ffhq,face,84,12,0.7,imgs/small_id_354_region_face_t_0.7_layer_12_ch_84_0_seed_1.jpeg,100
356,ffhq,face,30,12,0.7,imgs/small_id_356_region_face_t_0.7_layer_12_ch_30_0_seed_1.jpeg,100
358,ffhq,face,306,12,0.7,imgs/small_id_358_region_face_t_0.7_layer_12_ch_306_0_seed_1.jpeg,100
360,ffhq,face,61,12,0.7,imgs/small_id_360_region_face_t_0.7_layer_12_ch_61_0_seed_1.jpeg,100
362,ffhq,face,438,12,0.7,imgs/small_id_362_region_face_t_0.7_layer_12_ch_438_0_seed_1.jpeg,100
364,ffhq,face,81,12,0.7,imgs/small_id_364_region_face_t_0.7_layer_12_ch_81_0_seed_1.jpeg,100
366,ffhq,face,255,11,0.75,imgs/small_id_366_region_face_t_0.75_layer_11_ch_255_0_seed_1.jpeg,100
368,ffhq,face,131,11,0.75,imgs/small_id_368_region_face_t_0.75_layer_11_ch_131_0_seed_1.jpeg,100
370,ffhq,face,43,11,0.75,imgs/small_id_370_region_face_t_0.75_layer_11_ch_43_0_seed_1.jpeg,100
372,ffhq,face,152,11,0.75,imgs/small_id_372_region_face_t_0.75_layer_11_ch_152_0_seed_1.jpeg,100
374,ffhq,face,110,6,0.6,imgs/small_id_374_region_face_t_0.6_layer_6_ch_110_0_seed_1.jpeg,100
376,ffhq,face,166,6,0.6,imgs/small_id_376_region_face_t_0.6_layer_6_ch_166_0_seed_1.jpeg,100
378,ffhq,face,35,6,0.6,imgs/small_id_378_region_face_t_0.6_layer_6_ch_35_0_seed_1.jpeg,100
380,ffhq,face,104,6,0.6,imgs/small_id_380_region_face_t_0.6_layer_6_ch_104_0_seed_1.jpeg,100
382,ffhq,face,282,6,0.6,imgs/small_id_382_region_face_t_0.6_layer_6_ch_282_0_seed_1.jpeg,100
384,ffhq,face,256,12,0.7,imgs/small_id_384_region_face_t_0.7_layer_12_ch_256_0_seed_1.jpeg,100
386,ffhq,face,460,12,0.7,imgs/small_id_386_region_face_t_0.7_layer_12_ch_460_0_seed_1.jpeg,100
388,ffhq,face,88,12,0.7,imgs/small_id_388_region_face_t_0.7_layer_12_ch_88_0_seed_1.jpeg,100
390,ffhq,face,85,12,0.7,imgs/small_id_390_region_face_t_0.7_layer_12_ch_85_0_seed_1.jpeg,100
392,ffhq,face,107,12,0.7,imgs/small_id_392_region_face_t_0.7_layer_12_ch_107_0_seed_1.jpeg,100
394,ffhq,face,396,12,0.7,imgs/small_id_394_region_face_t_0.7_layer_12_ch_396_0_seed_1.jpeg,100
396,ffhq,face,244,12,0.7,imgs/small_id_396_region_face_t_0.7_layer_12_ch_244_0_seed_1.jpeg,100
398,ffhq,face,301,12,0.7,imgs/small_id_398_region_face_t_0.7_layer_12_ch_301_0_seed_1.jpeg,100
400,ffhq,face,273,12,0.7,imgs/small_id_400_region_face_t_0.7_layer_12_ch_273_0_seed_1.jpeg,100
402,ffhq,face,41,9,0.69,imgs/small_id_402_region_face_t_0.69_layer_9_ch_41_0_seed_1.jpeg,100
404,ffhq,face,379,9,0.69,imgs/small_id_404_region_face_t_0.69_layer_9_ch_379_0_seed_1.jpeg,100
406,ffhq,face,299,6,0.6,imgs/small_id_406_region_face_t_0.6_layer_6_ch_299_0_seed_1.jpeg,100
408,ffhq,face,58,6,0.6,imgs/small_id_408_region_face_t_0.6_layer_6_ch_58_0_seed_1.jpeg,100
410,ffhq,face,184,9,0.69,imgs/small_id_410_region_face_t_0.69_layer_9_ch_184_0_seed_1.jpeg,100
412,ffhq,face,144,9,0.69,imgs/small_id_412_region_face_t_0.69_layer_9_ch_144_0_seed_1.jpeg,100
414,ffhq,face,268,12,0.7,imgs/small_id_414_region_face_t_0.7_layer_12_ch_268_0_seed_1.jpeg,100
416,ffhq,face,142,12,0.7,imgs/small_id_416_region_face_t_0.7_layer_12_ch_142_0_seed_1.jpeg,100
418,ffhq,face,161,12,0.7,imgs/small_id_418_region_face_t_0.7_layer_12_ch_161_0_seed_1.jpeg,100
